speed;rate;vol;wear;rough;cost;victories;defeats;draws
66.63;50;5000;34.47;0.51;9.38;207;792;0
57.69;83.48;5000;31.69;0.62;5.99;876;123;0
61.13;96.32;5000.01;31.52;0.64;5.46;978;20;1
53.28;68.83;5000;32.18;0.6;6.84;688;311;0
65.95;50;5000;34.38;0.51;9.34;217;782;0
57.04;85.69;5000;31.64;0.63;5.85;903;96;0
67.4;50;5000;34.56;0.51;9.43;195;804;0
69.57;50;5000;34.82;0.51;9.56;163;836;0
60.61;93.75;5000;31.53;0.64;5.56;964;35;0
67.75;50;5000;34.6;0.51;9.45;190;809;0
57.09;84.04;5000;31.67;0.63;5.94;886;113;0
52.35;57.39;5000.03;32.73;0.56;7.85;547;452;0
70.7;50;5000;34.96;0.51;9.63;144;855;0
76.84;143.61;5000;33.21;0.66;4.62;393;606;0
58.01;95.23;5000;31.52;0.64;5.43;976;23;0
56.13;50.01;5000;33.37;0.53;8.83;368;631;0
59.76;50.09;5000;33.69;0.52;8.99;309;690;0
50.69;52.59;5000.01;32.93;0.54;8.31;479;520;0
69.91;50;5000;34.86;0.51;9.58;157;842;0
67.32;50;5000.01;34.55;0.51;9.43;196;803;0
60.56;97.48;5000;31.5;0.64;5.4;991;8;0
61.98;50;5000;33.93;0.52;9.12;278;721;0
73.57;50;5000;35.3;0.5;9.81;104;895;0
51.66;60.67;5000.01;32.54;0.57;7.5;607;392;0
77.21;50;5000;35.72;0.5;10.05;41;958;0
69.54;121.12;5000;31.97;0.65;4.88;764;235;0
73.24;150;5000;33.49;0.66;4.43;346;653;0
52.15;53.71;5000.01;32.92;0.55;8.23;483;516;0
54.32;72.65;5000.02;32.03;0.6;6.58;739;260;0
54.75;71.92;5000;32.06;0.6;6.65;726;273;0
63.48;150;5000;34.09;0.67;4.32;256;743;0
50.87;66.39;5000;32.28;0.59;6.98;664;335;0
66.92;50;5000;34.5;0.51;9.4;202;797;0
56.19;82.51;5000.01;31.71;0.62;6;871;128;0
59.63;90.14;5000.22;31.57;0.63;5.7;940;59;0
49.72;53.53;5000;32.86;0.55;8.18;501;498;0
53.67;50;5000;33.2;0.53;8.72;395;604;0
74.22;50;5000;35.38;0.5;9.86;91;908;0
69.99;50;5000;34.87;0.51;9.59;156;843;0
73.75;50;5000;35.32;0.5;9.83;100;899;0
51.68;67.88;5000;32.22;0.59;6.88;679;320;0
63.13;134.25;5000;32.69;0.66;4.5;543;456;0
52.21;50;5000;33.12;0.53;8.67;410;589;0
65.55;50;5000;34.34;0.51;9.32;222;777;0
52.5;66.55;5000;32.27;0.59;7;666;333;0
79.29;50;5000;35.94;0.49;10.18;12;987;0
54.38;76.76;5000.09;31.88;0.61;6.31;800;199;0
58.56;50;5000;33.58;0.52;8.94;326;673;0
64.07;102.08;5000.01;31.56;0.64;5.32;949;50;0
51.09;63.77;5000;32.39;0.58;7.2;641;358;0
