speed;rate;vol;wear;rough;cost;victories;defeats;draws
80;137.59;11999.99;8.72;0.32;11.54;43;956;0
80;50;10831.48;4.61;0.27;19.35;960;39;0
79.83;50;7691.19;4.78;0.32;12.12;580;419;0
80;144.16;10288.69;8.08;0.34;9.35;176;823;0
79.99;56.46;5539.36;5.25;0.36;8.32;514;485;0
79.98;149.95;9909.4;8.09;0.35;8.79;210;789;0
79.99;50.37;5061.46;5.33;0.35;8.58;541;458;0
79.79;50.01;7619.33;4.79;0.32;11.99;572;427;0
79.98;51.32;5006.5;5.35;0.35;8.41;535;464;0
80;52.3;5391.62;5.25;0.35;8.66;542;457;0
80;50;8686.8;4.67;0.31;14.09;709;290;0
80;142.24;11371.63;8.56;0.33;10.66;86;913;0
79.96;51.95;5037.94;5.35;0.35;8.37;532;467;0
79.98;145.35;8295.55;7.11;0.38;7.03;287;712;0
79.98;53.38;6684.53;4.99;0.34;10.04;515;484;0
80;50;10285.6;4.61;0.28;17.91;941;58;0
80;50;11294.54;4.62;0.27;20.6;859;140;0
80;50.01;8276.19;4.71;0.31;13.23;676;323;0
80;50.56;6511.84;4.98;0.34;10.19;558;441;0
80;50;9939.42;4.61;0.29;17.03;877;122;0
80;50.61;5303.92;5.26;0.35;8.78;553;446;0
80;50;10518.47;4.6;0.28;18.52;985;14;0
79.99;150;10980.37;8.64;0.33;10;121;878;0
79.98;132.61;11890.05;8.47;0.32;11.61;39;960;0
80;50;11280.2;4.62;0.27;20.56;862;137;0
80;149.94;11437.17;8.87;0.32;10.5;117;882;0
80;150;9234.79;7.75;0.36;8.02;223;776;0
80;146.2;10524.78;8.27;0.34;9.58;160;839;0
80;50;10927.77;4.61;0.27;19.61;940;59;0
79.99;149.96;7368.48;6.8;0.4;6.02;369;630;0
79.99;149.98;9437.41;7.85;0.36;8.25;215;784;0
79.94;50;9483.83;4.63;0.29;15.9;795;204;0
79.95;50;11370.87;4.62;0.27;20.81;833;166;0
80;138.85;11974.48;8.76;0.32;11.46;47;952;0
80;50;7095.82;4.86;0.33;11.12;543;456;0
80;149.77;7452.59;6.83;0.4;6.11;356;643;0
79.95;50;8384.93;4.7;0.31;13.45;686;313;0
79.99;149.67;7091.09;6.66;0.41;5.76;395;604;0
79.99;52.85;5628.33;5.2;0.35;8.83;545;454;0
80;54.05;5347.7;5.28;0.36;8.41;533;466;0
80;149.96;7894.83;7.06;0.39;6.55;308;691;0
79.95;50.05;10274.41;4.61;0.28;17.87;889;110;0
80;50;11664.78;4.63;0.26;21.62;785;214;0
80;150;8864.87;7.56;0.37;7.6;249;750;0
80;149.92;7920.16;7.07;0.39;6.58;307;692;0
79.93;50;9884.08;4.62;0.29;16.89;845;154;0
80;50;9789.93;4.62;0.29;16.65;854;145;0
79.99;147.26;11806.86;8.98;0.32;10.98;93;906;0
80;50;8940.01;4.66;0.3;14.64;731;268;0
80;50.01;7997.98;4.74;0.32;12.69;634;365;0
80;50.45;6538.85;4.97;0.34;10.24;560;439;0
80;150;7458.89;6.84;0.4;6.11;353;646;0
80;50;9551.34;4.63;0.29;16.07;815;184;0
80;50;9547.56;4.63;0.29;16.06;816;183;0
79.98;149.43;8302.75;7.25;0.38;6.99;278;721;0
80;131.79;11964.51;8.48;0.32;11.74;34;965;0
80;50;10578.49;4.6;0.28;18.68;996;2;1
79.99;148.38;11876.63;9.06;0.31;11.02;95;904;0
80;50;8897.67;4.66;0.3;14.55;726;273;0
80;50.08;10599.19;4.61;0.28;18.71;917;82;0
79.93;50;5533.86;5.2;0.34;9.08;562;437;0
80;50;7292.17;4.83;0.33;11.44;547;452;0
80;50;7487.4;4.8;0.32;11.76;559;440;0
80;50;11398.63;4.62;0.26;20.89;840;159;0
80;149.89;7248.84;6.74;0.4;5.91;384;615;0
79.99;50.02;11005.21;4.61;0.27;19.81;909;90;0
80;150;11452.55;8.88;0.32;10.51;117;882;0
79.99;149.68;11775.51;9.05;0.32;10.87;107;892;0
79.94;149.37;7377.69;6.79;0.4;6.04;367;632;0
79.76;150;9289.4;7.79;0.36;8.09;217;782;0
80;50;7858.32;4.75;0.32;12.43;613;386;0
80;50;11471.26;4.62;0.26;21.09;825;174;0
80;50;9396.33;4.63;0.29;15.7;793;206;0
80;50;11818.24;4.65;0.26;22.04;753;246;0
80;50;11026.88;4.61;0.27;19.88;921;78;0
79.99;149.86;8469.05;7.35;0.38;7.17;272;727;0
80;50;11114.17;4.61;0.27;20.11;900;99;0
80;148.24;10616.71;8.39;0.33;9.63;147;852;0
80;150;8719.18;7.48;0.37;7.44;257;742;0
79.94;50;7280.33;4.83;0.33;11.42;547;452;0
79.92;132.03;11555.38;8.28;0.33;11.23;68;931;0
79.95;50;8423.45;4.7;0.31;13.53;688;311;0
79.97;50;11101.7;4.61;0.27;20.08;884;115;0
79.99;50.91;6421.21;5;0.34;10.02;551;448;0
80;50.03;10847.06;4.61;0.27;19.39;935;64;0
79.96;148.19;7506.77;6.81;0.4;6.18;355;644;0
80;50;11620.19;4.63;0.26;21.49;796;203;0
79.94;150;8923.64;7.59;0.37;7.67;246;753;0
79.97;50.02;8089.45;4.73;0.32;12.86;651;348;0
80;147.02;11978.83;9.07;0.31;11.17;84;915;0
80;50;11361.09;4.62;0.27;20.78;846;153;0
79.98;131.6;11920.08;8.45;0.32;11.69;37;962;0
80;61.82;6312.59;5.15;0.37;8.57;491;508;0
79.98;50.05;5915.98;5.1;0.34;9.5;559;440;0
80;50;10871.56;4.61;0.27;19.46;954;45;0
80;146.8;11403.28;8.74;0.32;10.55;101;898;0
79.98;147.9;10123.45;8.13;0.34;9.08;192;807;0
79.99;139.9;7568.09;6.59;0.4;6.33;368;631;0
80;50;11171.57;4.61;0.27;20.27;890;108;1
79.98;50;8831.32;4.66;0.3;14.4;718;281;0
79.94;147.75;11001.63;8.57;0.33;10.08;113;886;0
80;50;11565.45;4.63;0.26;21.34;805;194;0
80;50;8517.29;4.69;0.31;13.73;697;302;0
79.97;150;7505.78;6.86;0.4;6.16;351;648;0
79.95;137.65;11268.68;8.34;0.33;10.68;91;908;0
79.95;128.09;5000;5.56;0.44;4.42;474;525;0
80;149.96;7723.57;6.97;0.39;6.38;332;667;0
79.95;132.03;11528.2;8.26;0.33;11.2;70;929;0
79.96;141.33;12000;8.87;0.32;11.39;58;941;0
80;51.66;5912.36;5.12;0.35;9.29;545;454;0
79.94;68.41;5657.9;5.27;0.39;7.27;502;497;0
80;50;10814.15;4.61;0.27;19.31;963;36;0
80;50;11609.08;4.63;0.26;21.46;797;202;0
80;149.25;8957.64;7.58;0.37;7.72;246;753;0
