speed;rate;vol;wear;rough;cost;victories;defeats;draws
79.9;50;9083.27;1.4;0.27;36.32;907;92;0
72.49;90.21;5000.01;2.56;0.35;16.15;191;808;0
79.89;50.7;5043.27;2.04;0.29;19.83;549;450;0
71.14;56.2;5000.8;2.27;0.3;19.4;394;605;0
62.94;50.1;7150.5;1.67;0.27;30.4;759;240;0
72.18;68.2;5000.01;2.42;0.32;17.82;282;717;0
67.84;50;6405.73;1.71;0.27;26.3;728;271;0
75.83;50;9672.04;1.47;0.27;39.94;837;162;0
78.13;50;6947.97;1.51;0.28;27.1;732;267;0
76.18;50;9745.42;1.47;0.27;40.18;832;167;0
73.57;83.23;5000;2.49;0.34;16.48;224;775;0
79.55;50;9010.4;1.39;0.27;36.07;910;89;0
73.26;50.16;7212.65;1.51;0.28;29.07;782;217;0
80;66.49;5541.05;2.07;0.33;19.1;386;613;0
74.34;50.08;6795.6;1.56;0.28;27.06;718;281;0
80;50;10993.74;1.61;0.27;44.55;702;297;0
80;58.65;5065.11;2.16;0.31;18.67;458;541;0
79.97;53.5;5523.11;1.92;0.3;20.86;499;500;0
80;50;10833.53;1.58;0.27;43.92;722;277;0
75.16;137.57;5000.01;2.84;0.37;14.86;75;924;0
72.6;57.33;5000.01;2.27;0.3;19.14;399;600;0
73.41;80.35;5000;2.48;0.34;16.69;232;767;0
72.71;62.55;5000.01;2.35;0.31;18.44;345;654;0
77.04;50;10224.29;1.52;0.27;42.07;777;222;0
75.13;50;9797.06;1.49;0.27;40.64;808;191;0
75.53;150;5000;2.99;0.37;14.8;36;963;0
80;70.55;5906.79;1.99;0.33;19.8;333;666;0
73.06;67.4;5001.05;2.39;0.32;17.86;296;703;0
79.71;57.29;5000.03;2.17;0.31;18.69;467;532;0
72.47;62.45;5000.36;2.35;0.31;18.46;341;658;0
75.13;50;9521.69;1.46;0.27;39.42;849;150;0
74.1;50;5042.07;2.07;0.28;20.34;588;411;0
75.9;50.01;9646.29;1.47;0.27;39.81;841;158;0
78.93;50.02;5135.27;2;0.29;20.3;580;419;0
74.14;124.12;5000.01;2.74;0.37;15.05;113;886;0
76.22;50.04;7423.03;1.46;0.28;29.5;809;190;0
80;50.08;6167.23;1.67;0.29;23.71;616;383;0
73.03;70.27;5000.03;2.42;0.33;17.56;278;721;0
66.81;50.06;7232.75;1.58;0.27;30.24;790;209;0
74.07;150;5000;3.06;0.37;14.92;17;982;0
73.49;57.3;5000.92;2.25;0.3;19.09;413;586;0
77.03;50;10130.11;1.51;0.27;41.67;788;211;0
79.99;50;10893.63;1.59;0.27;44.16;715;284;0
80;50.09;7327.82;1.46;0.28;28.35;779;220;0
72.21;50.01;8979.54;1.46;0.27;37.56;868;131;0
77.82;50;7612.04;1.43;0.28;30.05;838;161;0
69.36;50.02;6640.17;1.64;0.27;27.13;737;262;0
74.66;50;9858.12;1.51;0.27;41.01;793;206;0
75.96;50;9007.73;1.42;0.27;36.89;909;90;0
76.72;50;9670.09;1.46;0.27;39.73;845;154;0
76.82;50;10145.42;1.52;0.27;41.78;784;215;0
80;50;10881.27;1.59;0.27;44.11;716;283;0
76.38;50;9483.14;1.45;0.27;38.97;865;134;0
62.47;50;6854.02;1.72;0.27;29.06;758;241;0
62.14;50;6008.94;1.92;0.27;25.18;711;288;0
80;50;8742.1;1.39;0.27;34.72;923;76;0
75.86;50;8832.38;1.41;0.27;36.1;915;84;0
79.54;50;9428.67;1.42;0.27;37.98;888;111;0
73.82;50;9272.61;1.46;0.27;38.58;862;137;0
76.28;50;8925.09;1.41;0.27;36.44;917;82;0
79.56;50;8594.76;1.39;0.28;34.15;923;76;0
77.99;50.06;7071.37;1.5;0.28;27.63;745;254;0
80;50.33;6438.12;1.61;0.29;24.68;639;360;0
78.28;50;8380.53;1.39;0.28;33.46;909;90;0
74.4;50.01;7328.23;1.48;0.28;29.42;809;190;0
72.71;50.17;7428.78;1.49;0.28;30.15;813;186;0
73.91;56.82;5000.01;2.24;0.3;19.13;423;576;0
76.64;50;9609.25;1.46;0.27;39.48;851;148;0
79.97;50;5274.35;1.94;0.29;20.66;575;424;0
72.54;55.24;5000.01;2.23;0.3;19.45;430;569;0
75.95;50;7648.71;1.44;0.28;30.59;852;147;0
74.17;148.73;5000;3.04;0.37;14.91;22;977;0
71.86;50;7490.15;1.49;0.27;30.63;842;157;0
65.1;50.09;7370.39;1.6;0.27;31.16;786;213;0
80;60.73;5714.78;1.96;0.32;20.38;395;604;0
73.46;147.96;5000;3.06;0.37;14.96;17;982;0
74.95;50.01;9677.97;1.48;0.27;40.16;826;173;0
75.58;50;9745.42;1.48;0.27;40.32;825;174;0
71.89;50.95;5000.8;2.14;0.28;20.19;552;447;0
72.47;76.76;5000.16;2.49;0.34;17.02;231;768;0
78.34;149.98;5000.03;2.87;0.37;14.58;71;928;0
79.99;50;10934.85;1.6;0.27;44.32;707;292;0
73.61;134.08;5000.02;2.87;0.37;15;70;929;0
74.45;50.07;7857.9;1.44;0.27;31.83;878;121;0
79.99;70.06;5909.48;1.99;0.33;19.86;335;664;0
80;50;10819.28;1.58;0.27;43.86;723;276;0
