speed;rate;vol;wear;rough;cost;victories;defeats;draws
71.37;69.25;5000;50.38;0.64;7.21;748;251;0
69.96;60.77;5000;50.91;0.6;7.93;586;413;0
74.9;57.57;5000;51.51;0.58;8.47;354;645;0
79.19;75.5;5000.01;50.42;0.65;7.02;747;252;0
76.4;65.65;5000.05;50.96;0.61;7.72;574;425;0
72.24;55.56;5000.03;51.47;0.57;8.58;367;632;0
75.28;63.12;5000;51.08;0.6;7.91;525;474;0
78.52;150;5000;55.44;0.83;4.87;7;992;0
70.74;55.67;5000;51.35;0.58;8.5;417;582;0
79.98;126.98;5000.01;50.93;0.77;5.05;587;412;0
77.54;67.11;5000;50.93;0.62;7.63;586;413;0
71.67;50.48;5000;51.82;0.55;9.17;240;759;0
79.58;78.14;5000;50.28;0.65;6.85;795;204;0
79.98;118.16;5000.01;50.14;0.75;5.21;832;167;0
72.08;51.15;5000;51.8;0.55;9.1;247;752;0
79.98;116.51;5000.01;50.03;0.75;5.25;861;138;0
79.96;78.15;5000.01;50.3;0.65;6.87;787;212;0
79.27;70.15;5000;50.83;0.63;7.44;626;373;0
73.12;58.9;5000.02;51.26;0.59;8.25;457;542;0
79.93;75.39;5000.02;50.49;0.64;7.06;727;272;0
80;130.34;5000;51.32;0.77;5.01;433;566;0
71.43;54.87;5000;51.46;0.57;8.63;371;628;0
79.95;76.45;5000;50.41;0.65;6.98;750;249;0
75.33;60.58;5000.08;51.29;0.59;8.16;444;555;0
79.85;77.28;5000;50.35;0.65;6.92;769;230;0
80;140.48;5000;52.85;0.8;4.91;114;885;0
80;140.83;5000;52.92;0.8;4.91;111;888;0
75.76;60.21;5000.08;51.36;0.59;8.22;411;588;0
71.93;51.85;5000;51.74;0.55;9.01;270;729;0
79.99;134.23;5000;51.84;0.78;4.96;234;765;0
79.82;71.82;5000;50.74;0.63;7.33;651;348;0
74.53;59.67;5000.3;51.31;0.59;8.23;439;560;0
78.36;68.58;5000;50.88;0.62;7.54;606;393;0
67.08;56.21;5000.68;51.12;0.59;8.3;497;502;0
73.92;59.73;5000.05;51.25;0.59;8.19;457;542;0
78.9;69.58;5000.01;50.84;0.62;7.47;619;380;0
79.77;75.95;5000;50.44;0.65;7.01;742;257;0
79.84;69.98;5000.01;50.88;0.62;7.48;602;397;0
79.37;50;5000;52.49;0.53;9.57;137;862;0
72.51;50;5000;51.92;0.54;9.27;218;781;0
79.27;150;5000;55.12;0.83;4.87;25;974;0
80;85.03;5000;49.92;0.67;6.44;883;116;0
74.26;56.74;5000.04;51.53;0.57;8.53;346;653;0
79.92;135.15;5000.01;52;0.78;4.95;207;792;0
79.32;69.28;5000.3;50.9;0.62;7.52;600;399;0
78.86;150;5000;55.29;0.83;4.87;16;983;0
80;119.25;5000;50.22;0.75;5.19;812;187;0
79.78;76.42;5000;50.4;0.65;6.98;753;246;0
79.98;102.97;5000;49.55;0.72;5.63;975;24;0
79.95;79.82;5000;50.2;0.66;6.76;820;179;0
78.65;99.37;5000;49.53;0.71;5.72;992;7;0
78.94;65.14;5000;51.2;0.61;7.87;478;521;0
74.09;60.55;5000;51.2;0.59;8.12;481;518;0
79.98;73.99;5000;50.59;0.64;7.17;699;300;0
69.05;56.89;5000;51.16;0.59;8.3;491;508;0
79.29;70.8;5000.01;50.78;0.63;7.39;638;361;0
74.41;59.22;5000;51.33;0.59;8.27;425;574;0
74.53;62.5;5000.46;51.08;0.6;7.94;524;475;0
79.87;73.81;5000;50.59;0.64;7.18;697;302;0
79.92;124.17;5000;50.65;0.76;5.1;681;318;0
79.88;150;5000.01;54.87;0.82;4.87;43;956;0
71.85;50;5000;51.87;0.54;9.24;227;772;0
80;131.55;5000;51.47;0.78;4.99;365;634;0
69.24;52.04;5000;51.53;0.56;8.87;343;656;0
75.16;63.58;5000;51.03;0.61;7.86;540;459;0
72.06;56.76;5000;51.36;0.58;8.44;413;586;0
79.62;82.02;5000;50.05;0.67;6.6;857;142;0
69.36;50.91;5000;51.62;0.55;9.02;308;691;0
80;125.38;5000;50.75;0.76;5.08;643;356;0
80;81.31;5000;50.11;0.66;6.66;840;159;0
78.89;76.62;5000;50.33;0.65;6.93;779;220;0
79.91;70.64;5000;50.84;0.63;7.43;621;378;0
71.43;55.61;5000;51.4;0.57;8.54;396;603;0
79.94;106.48;5000.01;49.61;0.72;5.51;952;47;0
71.09;50.01;5000;51.81;0.54;9.2;242;757;0
71.28;58.94;5000;51.13;0.59;8.17;502;497;0
76.31;67.53;5000.01;50.8;0.62;7.54;632;367;0
79.82;76.7;5000;50.39;0.65;6.96;758;241;0
79.97;124.55;5000;50.68;0.76;5.09;673;326;0
71.8;54.18;5000;51.54;0.57;8.72;340;659;0
72.79;58.84;5000.05;51.24;0.59;8.24;463;536;0
75.3;50;5000;52.15;0.54;9.39;184;815;0
71.22;70.54;5000;50.29;0.65;7.1;769;230;0
79.99;131.74;5000;51.5;0.78;4.99;357;642;0
79.8;138.41;5000;52.55;0.79;4.92;128;871;0
79.99;79.64;5000;50.21;0.66;6.77;815;184;0
71.3;50;5000.01;51.83;0.54;9.21;238;761;0
68;54.4;5000;51.29;0.58;8.54;440;559;0
80;115.36;5000;49.96;0.74;5.27;874;125;0
71.99;52.08;5000.01;51.72;0.55;8.98;276;723;0
78.66;76.1;5000;50.35;0.65;6.96;771;228;0
68.64;63.7;5000;50.64;0.62;7.6;663;336;0
78.58;89.53;5000;49.67;0.69;6.15;929;70;0
79.99;77.5;5000;50.35;0.65;6.91;773;226;0
78.77;66.77;5000.19;51.06;0.61;7.71;529;470;0
67.5;56.57;5000;51.1;0.59;8.28;503;496;0
77.67;68.87;5000.02;50.8;0.62;7.48;631;368;0
74.33;62.55;5000.01;51.05;0.6;7.93;535;464;0
79.94;132.2;5000;51.57;0.78;4.98;327;672;0
72.99;62.61;5000.07;50.96;0.61;7.87;575;424;0
79.97;134.32;5000;51.86;0.78;4.96;229;770;0
72.2;53.73;5000;51.61;0.56;8.79;315;684;0
73.99;70.15;5000;50.45;0.64;7.23;732;267;0
80;130.8;5000.02;51.38;0.77;5;404;595;0
75.84;59.42;5000.01;51.43;0.59;8.31;386;613;0
73.61;64.67;5000;50.84;0.61;7.7;618;381;0
79.35;150;5000;55.09;0.82;4.87;28;971;0
68.02;50.07;5000;51.6;0.55;9.07;317;682;0
80;105.02;5001.83;49.59;0.72;5.56;956;43;0
78.16;98.55;5000;49.53;0.71;5.74;993;6;0
80;128.85;5000;51.14;0.77;5.03;503;496;0
79.99;144.85;5000;53.69;0.81;4.88;78;921;0
